Supercontig	start	end	H3K27me3_a	H3K27me3_b	H3K4me2_a	H3K4me2_b	GENES	REPEATS	SNPs_VCG030	SNPs_CladeIII	dN	dNdS	dS	inplanta_RPKM	invitro_RPKM	log2foldChange
Supercontig_2.14	130000	140000	9.8361	2.2438	0.8961	1.0177	0.7878000	0.0177000	0.0000000	0.0482000	0.0955666666667	0.208333333333	0.445066666667	0.191111111111	0.162222222222	0.325971173634
Supercontig_2.14	140000	150000	10.4397	2.211	1.0939	1.1379	0.5189000	0.0684000	0.0004000	0.0318000	0.0482	0.09	0.5352	2.26083333333	9.19416666667	-1.40209840916
Supercontig_2.14	150000	160000	7.7009	3.9958	2.3587	2.6719	0.3070000	0.1544000	0.0004000	0.0181000	0.06515	0.1186	0.5139	1.10833333334	1.72	-1.25971841861
Supercontig_2.14	160000	170000	16.3667	1.6118	7.0818	1.0049	0.0000000	0.6294000	0.0006000	0.0023000						
Supercontig_2.14	170000	180000	10.767	2.1893	1.3025	1.1326	0.3035000	0.0569000	0.0000000	0.0460000	0.0672	0.1332	0.5048	1.10083333333	0.965833333332	-0.050503418
Supercontig_2.14	180000	190000	13.1367	2.4821	1.2369	1.0684	0.3329000	0.1749000	0.0002000	0.0387000				1.16	0.0	2.87157632881
Supercontig_2.14	190000	200000	11.0834	2.19	6.9773	3.4593	0.5669000	0.0000000	0.0000000	0.0548000	0.1211	0.1636	0.5924	16.8388888889	2.65111111111	2.08962025609
Supercontig_2.14	200000	210000	9.0795	2.0532	4.2624	1.8977	0.8130000	0.0000000	0.0000000	0.0342000	0.0260333333333	0.0679666666667	0.388333333333	183.425555555	1.26222222222	4.9036483187
Supercontig_2.14	210000	220000	8.5405	2.004	2.9981	0.9794	0.4876000	0.0485000	0.0000000	0.0305000	0.0119333333333	0.0327666666667	0.343566666667	6.25166666666	9.17416666665	-0.195041493275
Supercontig_2.14	220000	230000	9.6443	2.2893	1.5074	1.0444	0.8228000	0.0000000	0.0002000	0.0479000	0.03368	0.08148	0.40966	4.66	8.5911111111	-1.34567413597
Supercontig_2.14	230000	240000	9.4677	1.7811	1.7606	1.1248	0.6875000	0.0000000	0.0000000	0.0401000	0.01866	0.04374	0.47888	1.15466666667	2.48266666667	-1.5346763368
Supercontig_2.14	240000	250000	6.268	1.0473	0.8322	0.7586	0.4463000	0.0000000	0.0000000	0.0339000	0.0444	0.1863	0.2381	8.37083333332	1.53583333333	2.19191554744
Supercontig_2.14	250000	260000	8.8292	1.4984	0.8575	0.9036	0.7170000	0.0000000	0.0004000	0.0503000				0.893333333333	0.236666666667	0.772392891293
Supercontig_2.14	260000	270000	11.0226	2.0925	0.7641	1.0546	0.6387000	0.0000000	0.0002000	0.0481000	0.1224	0.25315	0.44235	2.50533333333	0.0566666666667	2.93811438395
Supercontig_2.14	270000	280000	9.8769	2.0511	0.8411	1.0203	0.5608000	0.0243000	0.0000000	0.0365000				0.148333333333	0.0	1.09545640398
Supercontig_2.14	280000	290000	9.2772	1.9835	1.639	1.0302	0.6626000	0.0000000	0.0000000	0.0240000				0.175238095238	0.321428571429	-0.582523776494
Supercontig_2.14	290000	300000	9.7282	1.8464	1.0982	0.9602	0.5422000	0.0000000	0.0002000	0.0470000	0.0272333333333	0.103	0.268966666667	30.7077777778	618.820000001	-2.31547540578
Supercontig_2.14	300000	310000	10.0354	2.2424	0.9779	0.9573	0.8010000	0.0000000	0.0000000	0.0519000	0.0610666666667	0.13605	0.430216666667	62.4622222222	930.307222222	1.72511755776
Supercontig_2.14	310000	320000	10.2782	2.0539	1.084	1.0265	0.6523000	0.0000000	0.0000000	0.0601000	0.0782	0.1463	0.533575	2.29416666666	1.52166666667	-0.338895889475
Supercontig_2.14	320000	330000	8.6399	2.081	1.1094	1.0444	0.8605000	0.0000000	0.0000000	0.0365000	0.0344	0.0651	0.54835	0.386666666667	0.223333333334	0.984683023851
Supercontig_2.14	330000	340000	8.9953	1.745	1.1741	1.1032	0.6376000	0.0000000	0.0000000	0.0442000	0.074625	0.185175	0.397475	0.613333333333	0.118333333333	2.20721796811
Supercontig_2.14	340000	350000	8.8337	2.1228	0.8632	1.0439	0.7015000	0.0041000	0.0000000	0.0472000	0.058475	0.10995	0.520025	8.47199999999	1.99533333333	0.273346947617
Supercontig_2.14	350000	360000	9.0566	1.8039	1.0238	1.0305	0.7520000	0.0000000	0.0000000	0.0511000	0.0607	0.0979	0.5884	0.435555555555	0.592222222223	0.018496770311
Supercontig_2.14	360000	370000	8.9314	1.4976	1.1315	0.9298	0.5698000	0.0000000	0.0000000	0.0589000	0.2657	0.3674	0.775666666667	1.38833333333	0.03	2.64443613638
Supercontig_2.14	370000	380000	8.2587	1.7639	1.1649	1.0242	0.2953000	0.0000000	0.0000000	0.0460000	0.0593	0.12665	0.5019	19.7893333333	0.97	1.47175870277
Supercontig_2.14	380000	390000	10.064	2.3067	1.4108	1.1567	0.7569000	0.0000000	0.0002000	0.0333000	0.165733333333	0.213333333333	0.5896	15.3483333333	9.22916666666	1.54033955396
Supercontig_2.14	390000	400000	9.1037	2.0228	1.3506	1.0507	0.5803000	0.0000000	0.0000000	0.0209000	0.106175	0.181075	0.579975	6.90066666666	0.304666666666	3.69203448933
Supercontig_2.14	400000	410000	8.9395	1.7923	1.2337	1.2035	0.6905000	0.0000000	0.0002000	0.0263000	0.1574	0.216033333333	0.731066666667	0.905833333335	0.0	2.96441367832
Supercontig_2.14	410000	420000	2.8632	0.8829	9.9377	3.3048	0.8119000	0.0000000	0.0000000	0.0319000	0.012	0.043125	0.30885	24.4958333333	15.9641666666	0.00435814218625
Supercontig_2.14	420000	430000	5.517	1.4796	3.5236	1.2544	0.7985000	0.0000000	0.0000000	0.0247000	0.0239	0.08608	0.29498	7.76777777777	7.85555555556	-0.839846993197
Supercontig_2.14	430000	440000	7.1281	1.8412	1.5975	1.0865	0.6914000	0.0000000	0.0002000	0.0228000	0.069925	0.14115	0.4143	1.525	0.0341666666668	4.69177442745
Supercontig_2.14	440000	450000	7.5014	1.259	1.7625	1.1067	0.4710000	0.0000000	0.0000000	0.0459000	0.108866666667	0.205533333333	0.505066666667	0.596666666666	0.554	0.889927017141
Supercontig_2.14	450000	460000	3.4483	0.7034	3.0762	1.1868	0.4226000	0.0000000	0.0000000	0.0298000	0.02415	0.06425	0.3452	3.80250000001	3.42499999999	-0.179524974638
Supercontig_2.14	460000	470000	1.0199	0.4593	12.7604	1.5495	0.7568000	0.0000000	0.0000000	0.0466000	0.0683	0.14148	0.44974	6.0519047619	35.3085714286	-0.984506661417
Supercontig_2.14	470000	480000	1.4953	0.4865	5.4989	1.777	0.6839000	0.0000000	0.0000000	0.0357000	0.0157666666667	0.0419333333333	0.374566666667	15.2111111111	6.45666666668	1.40114119551
Supercontig_2.14	480000	490000	1.9144	0.5027	2.0974	0.9651	0.6626000	0.0000000	0.0002000	0.0461000	0.06045	0.1785	0.33935	0.897619047618	1.11523809524	-1.40460453335
Supercontig_2.14	490000	500000	2.2491	0.3519	1.9645	0.9547	0.1935000	0.0000000	0.0000000	0.0510000				0.0	0.0255555555556	-0.52201775611
Supercontig_2.14	500000	510000	1.9052	0.3826	3.0744	1.15	0.2812000	0.0000000	0.0000000	0.0472000	0.0061	0.0148	0.4123	12.3608333333	8.36166666667	-0.0822465702999
Supercontig_2.14	510000	520000	0.9327	0.3972	16.8428	6.9117	0.8657000	0.0000000	0.0000000	0.0394000	0.0231166666667	0.0742166666667	0.311483333333	28.2277777778	29.5227777778	-0.771558602307
Supercontig_2.14	520000	530000	1.7618	0.4446	4.6175	1.616	0.3564000	0.0000000	0.0000000	0.0532000	0.24355	0.94825	0.29075	0.329999999999	0.941333333332	-1.42109936776
Supercontig_2.14	530000	540000	1.5636	0.1889	3.2192	0.8646	0.8814000	0.0000000	0.0000000	0.0419000	0.1484	0.2382	0.649133333333	1.07777777778	0.0966666666667	2.19178457583
Supercontig_2.14	540000	550000	0.9971	0.3658	9.429	1.7752	0.9005000	0.0000000	0.0002000	0.0296000	0.02402	0.07154	0.32508	23.0505555556	17.8944444444	0.42076971412
Supercontig_2.14	550000	560000	0.83	0.3845	16.8912	7.1579	0.7263000	0.0000000	0.0000000	0.0141000	0.0367	0.1434	0.2557	0.911666666669	1.58	-1.63468012
Supercontig_2.14	560000	570000	0.6515	0.4735	5.5195	2.8106	0.7418000	0.0000000	0.0000000	0.0193000	0.021075	0.136225	0.165825	57.9833333333	27.0775	0.52852371917
Supercontig_2.14	570000	580000	1.2954	0.2897	17.7859	6.339	0.8831000	0.0000000	0.0000000	0.0159000	0.0153	0.069875	0.26415	60.3750000001	53.775	-0.633728464605
Supercontig_2.14	580000	590000	0.6413	0.3988	8.2761	1.6444	0.7215000	0.0000000	0.0000000	0.0216000	0.0141666666667	0.0583	0.2797	323.65	7.56	3.62872423335
Supercontig_2.14	590000	600000	0.6744	0.3313	5.1021	1.9227	0.5157000	0.0000000	0.0000000	0.0322000	0.05855	0.19095	0.29175	80.7949999999	6.22583333333	1.15850923399
Supercontig_2.14	600000	610000	0.5758	0.2708	11.5145	4.0417	0.5847000	0.0000000	0.0000000	0.0241000	0.0359	0.149	0.241033333333	19.7822222222	86.8233333332	-2.20377072739
Supercontig_2.14	610000	620000	0.5716	0.4279	15.5265	5.7987	0.8261000	0.0000000	0.0000000	0.0149000	0.0212	0.11316	0.22402	39.0373333333	27.1953333334	-0.459363951826
Supercontig_2.14	620000	630000	0.6425	0.357	6.4655	2.3637	0.6473000	0.0000000	0.0002000	0.0250000	0.016425	0.051225	0.342075	5.55666666667	8.05166666667	-1.59048418483
Supercontig_2.14	630000	640000	0.4637	0.2753	17.9257	5.355	0.8059000	0.0000000	0.0011000	0.0166000	0.019925	0.081625	0.246375	12.2141666667	9.14333333333	0.00014392482835
Supercontig_2.14	640000	650000	0.49	0.2967	11.9743	4.9656	0.6807000	0.0000000	0.0004000	0.0232000	0.04346	0.15746	0.27926	6.03400000001	3.99	0.504112704117
Supercontig_2.14	650000	660000	0.4641	0.3052	9.9076	4.0256	0.5024000	0.0000000	0.0000000	0.0188000	0.0626	0.3412	0.1834	2.115	1.81	-0.08653888307
Supercontig_2.14	660000	670000	0.4596	0.2958	16.6273	6.0004	0.8322000	0.0000000	0.0000000	0.0179000	0.0127	0.0718	0.1776	2.66666666667	1.79	0.176483514885
Supercontig_2.14	670000	680000	0.4279	0.2703	14.0817	6.0209	0.8221000	0.0000000	0.0000000	0.0112000	0.0116666666667	0.0615666666667	0.193466666667	4.95833333333	6.13666666667	-0.737066526082
Supercontig_2.14	680000	690000	0.408	0.2617	11.1575	4.2666	0.4994000	0.0000000	0.0000000	0.0146000	0.11075	0.92355	0.1772	12.1925	13.0075	-0.094170619754
Supercontig_2.14	690000	700000	0.6023	0.2791	19.6581	9.65	0.9461000	0.0000000	0.0000000	0.0156000	0.0142333333333	0.0526666666667	0.276733333333	22.8033333333	12.3455555556	0.486810461936
Supercontig_2.14	700000	710000	0.5477	0.383	19.2576	4.2414	0.6240000	0.0000000	0.0000000	0.0204000	0.0098	0.06485	0.14635	26.5283333333	8.17500000002	1.33198890251
Supercontig_2.14	710000	720000	0.4921	0.3194	16.3355	4.378	0.8040000	0.0000000	0.0000000	0.0232000	0.10355	0.251425	0.334075	8.08416666667	7.875	-0.160336329979
Supercontig_2.14	720000	730000	0.4577	0.3687	13.1406	6.2514	0.8309000	0.0000000	0.0000000	0.0156000	0.0429666666667	0.140866666667	0.300233333333	40.6122222222	8.3788888889	1.76612524173
Supercontig_2.14	730000	740000	0.4912	0.2704	14.6762	7.6162	0.5832000	0.0000000	0.0008000	0.0131000	0.0142	0.1062	0.134	41.64	23.1033333333	0.382691642448
Supercontig_2.14	740000	750000	0.4998	0.3009	10.2573	3.9731	0.3312000	0.0000000	0.0000000	0.0266000	0.119133333333	0.3413	0.265366666667	14.11	10.2726666667	-0.118193845554
Supercontig_2.14	750000	760000	0.6123	0.3366	21.3388	10.969	0.7444000	0.0000000	0.0000000	0.0189000	0.00196	0.0109	0.1625	35.296	39.1493333333	-0.471817406015
Supercontig_2.14	760000	770000	0.3724	0.3623	10.6075	4.0341	0.5938000	0.0000000	0.0002000	0.0224000	0.0414666666667	0.144166666667	0.2546	101.125	3.5025	3.9620769566
Supercontig_2.14	770000	780000	0.5355	0.3822	11.9034	4.4936	0.4517000	0.0000000	0.0000000	0.0317000	0.04065	0.12605	0.32825	10.7293333333	6.99933333332	0.2850950092
Supercontig_2.14	780000	790000	0.5866	0.3665	16.133	6.1121	0.6941000	0.0000000	0.0012000	0.0218000	0.00845	0.0458	0.21095	14.1611111111	17.6033333333	-0.459060210339
Supercontig_2.14	790000	800000	0.5138	0.3612	10.3544	2.2729	0.5253000	0.0060000	0.0004000	0.0323000	0.088075	0.2796	0.32135	7.49375	12.3404166667	-0.697491751391
Supercontig_2.14	800000	810000	0.5501	0.4045	12.2728	5.1498	0.6925000	0.0000000	0.0000000	0.0258000	0.0648666666667	0.265433333333	0.214433333333	4.76333333333	1.98583333333	0.038594313237
Supercontig_2.14	810000	820000	0.5524	0.2893	13.4805	5.2489	0.7756000	0.0000000	0.0000000	0.0236000	0.22145	0.63775	0.2466	9.496	5.02333333333	1.01981485641
Supercontig_2.14	820000	830000	0.4439	0.2768	15.2726	5.6778	0.9416000	0.0000000	0.0004000	0.0167000	0.01305	0.0628	0.209	59.0883333334	23.7133333334	0.800926278622
Supercontig_2.14	830000	840000	0.3622	0.3671	12.0102	5.0705	0.7322000	0.0000000	0.0002000	0.0215000	0.0298	0.0950666666667	0.307333333333	38.4441666666	13.3966666667	1.57655822183
Supercontig_2.14	840000	850000	0.7595	0.4285	16.9452	6.483	0.4681000	0.0000000	0.0002000	0.0260000	0.1059	0.322233333333	0.249866666667	23.6033333333	13.6911111111	0.0426107769047
Supercontig_2.14	850000	860000	0.5512	0.3383	7.8037	2.4219	0.6282000	0.0000000	0.0004000	0.0216000	0.0658333333333	0.178966666667	0.338466666667	1.17833333333	0.0625	1.96596550658
Supercontig_2.14	860000	870000	0.4906	0.2873	10.7009	4.0366	0.5959000	0.0000000	0.0002000	0.0251000	0.0803333333333	0.161266666667	0.307933333333	25.8433333333	0.726666666668	5.33206655822
Supercontig_2.14	870000	880000	0.4426	0.2465	8.634	3.8714	0.8339000	0.0000000	0.0002000	0.0226000	0.047	0.15145	0.22015	146.72	112.945	0.190281925053
Supercontig_2.14	880000	890000	0.588	0.3396	11.9906	4.2086	0.4111000	0.0000000	0.0002000	0.0195000	0.0989	0.3208	0.3085	19.5283333333	37.8066666667	0.101239662705
Supercontig_2.14	890000	900000	0.4587	0.2621	12.2627	2.1524	0.6916000	0.0000000	0.0000000	0.0182000	0.0376333333333	0.155466666667	0.247233333333	47.968888889	91.5333333333	0.109680013597
Supercontig_2.14	900000	910000	0.4475	0.3366	9.2509	3.5806	0.5116000	0.0000000	0.0000000	0.0273000	0.0307	0.1187	0.2815	20.7291666667	6.66166666667	0.61343062095
Supercontig_2.14	910000	920000	0.3825	0.3978	11.9616	5.1532	0.9459000	0.0000000	0.0000000	0.0192000	0.03265	0.123775	0.273175	28.3175	27.975	-0.390155491421
Supercontig_2.14	920000	930000	0.325	0.2948	15.3669	7.5999	0.7197000	0.0000000	0.0000000	0.0193000	0.022675	0.246875	0.105375	27.6606666667	19.0253333333	-0.0646371349846
Supercontig_2.14	930000	940000	0.4503	0.4094	4.924	1.2355	0.4119000	0.0000000	0.0010000	0.0194000	0.0038	0.0256	0.1499	4.41333333333	11.2566666667	-1.69909538931
Supercontig_2.14	940000	950000	0.4132	0.2795	4.2131	1.3689	0.3620000	0.0000000	0.0002000	0.0256000	0.05755	0.287	0.21035	2.48111111111	1.28111111111	-0.350870520395
Supercontig_2.14	950000	960000	0.4488	0.305	8.6006	3.2307	0.6236000	0.0000000	0.0000000	0.0250000	0.01965	0.1008	0.23	3.33583333333	8.16083333333	-0.331019372041
Supercontig_2.14	960000	970000	0.4064	0.204	10.3946	4.595	0.6910000	0.0000000	0.0000000	0.0170000	0.00686666666667	0.0269	0.2579	52.11	17.6922222222	0.956475735933
Supercontig_2.14	970000	980000	0.3943	0.3132	9.127	3.2126	0.8650000	0.0175000	0.0000000	0.0159000	0.0213333333333	0.0855	0.2413	6.27750000001	2.62666666667	1.63272422955
Supercontig_2.14	980000	990000	0.4233	0.2754	10.5284	2.7976	0.5706000	0.0000000	0.0000000	0.0142000	0.00946666666667	0.0509333333333	0.186633333333	10.6166666666	6.06666666667	1.7221626357
Supercontig_2.14	990000	1000000	0.3876	0.306	10.6923	3.5471	0.7186000	0.0000000	0.0000000	0.0096000	0.02755	0.18855	0.14195	14.825	4.91	1.02488744256
Supercontig_2.14	1000000	1010000	0.3672	0.3264	11.3561	3.2052	0.7137000	0.0000000	0.0000000	0.0138000	0.0256	0.1216	0.2107	5.32333333335	0.859999999998	-0.05537525826
Supercontig_2.14	1010000	1020000	0.452	0.3825	10.6171	2.7973	0.7131000	0.0000000	0.0006000	0.0224000	0.04522	0.16068	0.27836	13.6286666667	10.6413333333	0.628620612255
Supercontig_2.14	1020000	1030000	0.568	0.3519	10.4879	3.0651	0.7093000	0.0000000	0.0000000	0.0135000	0.0258	0.103533333333	0.245033333333	98.1188888889	60.64	0.973245267946
Supercontig_2.14	1030000	1040000	0.4488	0.2979	12.7541	3.3126	0.8376000	0.0000000	0.0000000	0.0084000	0.02186	19.95606	0.09884	6.34	3.18933333333	0.397522084072
Supercontig_2.14	1040000	1050000	0.4641	0.3192	22.5495	7.6167	0.8510000	0.0000000	0.0000000	0.0132000	0.02026	0.14466	0.12788	13.606	10.7866666667	0.285993387635
Supercontig_2.14	1050000	1060000	0.4233	0.2703	19.1086	3.9515	0.8367000	0.0045000	0.0000000	0.0140000	0.0145	0.1235	0.1159	18.31	9.75833333333	0.893239103786
Supercontig_2.14	1060000	1070000	0.7368	0.4315	15.7405	3.4285	0.7828000	0.0000000	0.0002000	0.0137000	0.01124	0.0603	0.16936	17.5566666667	10.6106666667	0.30591432214
Supercontig_2.14	1070000	1080000	1.3839	0.5324	16.707	6.6665	0.8708000	0.0000000	0.0002000	0.0127000	0.0312666666667	0.143183333333	0.219966666667	15.3566666667	21.1305555556	-0.845124428297
Supercontig_2.14	1080000	1090000	0.5399	0.2958	28.4109	11.2946	0.5608000	0.0000000	0.0004000	0.0139000	0.0179333333333	0.0747	0.201366666667	29.7791666667	29.4175	-0.572579870288
Supercontig_2.14	1090000	1100000	0.5322	0.3289	12.2251	4.7936	0.7156000	0.0000000	0.0000000	0.0172000	0.074625	0.251725	0.23875	17.4016666667	12.4533333333	-0.801147196493
Supercontig_2.14	1100000	1110000	0.4335	0.3087	6.5379	2.0205	0.5249000	0.0000000	0.0004000	0.0249000	0.0265	0.0934	0.2833	1.81666666667	0.832222222223	0.235236296194
Supercontig_2.14	1110000	1120000	0.4947	0.3264	17.1265	6.7886	0.5366000	0.0000000	0.0000000	0.0166000	0.00313333333333	0.0316333333333	0.152733333333	113.167777778	62.3388888889	0.877867990042
Supercontig_2.14	1120000	1130000	0.2652	0.2551	5.8748	1.8577	0.5568000	0.0000000	0.0000000	0.0096000	0.01425	0.05485	0.2316	27.1877777778	1.36555555555	1.35252387685
Supercontig_2.14	1130000	1140000	0.6834	0.2805	12.0265	3.0149	0.8578000	0.0000000	0.0000000	0.0158000	0.01354	0.10648	0.1694	35.7193333333	30.2200000001	-0.957784002482
Supercontig_2.14	1140000	1150000	0.3468	0.3467	12.8569	3.1571	0.8184000	0.0000000	0.0000000	0.0160000	0.0407142857143	0.197057142857	0.192971428571	23.7147619047	17.4847619048	-0.992710850182
Supercontig_2.14	1150000	1160000	0.4182	0.2803	10.8541	2.7101	0.6739000	0.0000000	0.0000000	0.0201000	0.0086	0.0396	0.2174	2.45	2.91	-0.687366084902
Supercontig_2.14	1160000	1170000	0.404	0.3264	20.5881	6.6645	0.8538000	0.0000000	0.0000000	0.0212000	0.019425	0.11635	0.1975	15.4708333333	10.4633333333	-0.00116488244355
Supercontig_2.14	1170000	1180000	0.5142	0.3264	22.9562	5.368	0.6400000	0.0000000	0.0000000	0.0204000	0.0267333333333	0.121816666667	0.20655	12.4166666667	13.9377777778	-0.699090377236
Supercontig_2.14	1180000	1190000	0.4284	0.3167	9.8455	2.759	0.5627000	0.0000000	0.0000000	0.0200000	0.00585	0.03705	0.16145	4.77777777778	12.6888888889	-0.89676031895
Supercontig_2.14	1190000	1200000	0.5695	0.3213	24.3646	9.0862	0.8818000	0.0000000	0.0000000	0.0198000	0.0073	0.0406	0.18435	39.0883333333	20.03	0.032120093385
Supercontig_2.14	1200000	1210000	0.4198	0.3111	19.3496	8.4291	0.8767000	0.0000000	0.0000000	0.0156000	0.0202333333333	0.0911666666667	0.1846	17.7616666667	27.3133333333	-2.24855779661
Supercontig_2.14	1210000	1220000	0.473	0.3315	14.2554	3.712	0.6880000	0.0000000	0.0000000	0.0147000	0.003225	0.0176	0.159475	28.1438888889	21.2483333333	1.2126479406
Supercontig_2.14	1220000	1230000	0.4237	0.3978	12.7917	4.2254	0.8544000	0.0000000	0.0000000	0.0183000	0.04755	0.224375	0.152325	59.8333333333	36.6893333333	-0.240466103189
Supercontig_2.14	1230000	1240000	0.4497	0.3367	16.0242	5.6628	0.6078000	0.0000000	0.0006000	0.0187000	0.0183666666667	0.127666666667	0.142433333333	9.75000000002	6.77777777778	0.0162176714663
Supercontig_2.14	1240000	1250000	0.4284	0.2458	5.9166	1.619	0.3312000	0.0000000	0.0004000	0.0227000	0.0316	0.1764	0.1792	13.1555555555	2.31555555556	1.43779763444
Supercontig_2.14	1250000	1260000	0.5002	0.3457	14.9279	4.9249	0.7981000	0.0000000	0.0000000	0.0151000	0.0110666666667	0.0676	0.164066666667	23.4322222222	23.8788888889	-0.545746824689
Supercontig_2.14	1260000	1270000	0.8972	0.2603	8.2559	1.1387	0.7153000	0.0485000	0.0000000	0.0160000				60.9711111111	305.181111111	-0.410486650997
Supercontig_2.14	1270000	1280000	0.4517	0.2772	11.0435	3.5184	0.9843000	0.0000000	0.0000000	0.0092000	0.00938	0.06656	0.15522	10.3716666667	11.6438888889	0.191309892399
Supercontig_2.14	1280000	1290000	0.3798	0.2532	9.8991	3.2268	0.4968000	0.0000000	0.0000000	0.0200000	0.019775	0.1088	0.194875	30.7706666667	12.8093333333	0.0214843880086
Supercontig_2.14	1290000	1300000	0.408	0.306	18.7188	5.7086	0.8325000	0.0000000	0.0002000	0.0189000	0.0284428571429	0.161071428571	0.1573	9.67238095239	7.66190476189	0.424356132372
Supercontig_2.14	1300000	1310000	0.4768	0.2909	14.0156	3.123	0.7727000	0.0000000	0.0008000	0.0144000	0.0378666666667	0.5701	0.0966666666667	71.8233333333	6.02166666666	2.47825651877
Supercontig_2.14	1310000	1320000	0.4391	0.3366	15.8393	6.1149	0.6658000	0.0000000	0.0000000	0.0199000	0.0167	0.1058	0.15865	13.1908333333	3.39833333334	1.10665977305
Supercontig_2.14	1320000	1330000	0.4198	0.3417	20.4679	4.475	0.6040000	0.0000000	0.0000000	0.0126000	0.0141	0.0881333333333	0.165866666667	7.85499999998	6.08583333332	-0.0411593538113
Supercontig_2.14	1330000	1340000	0.541	0.2449	18.0784	5.6089	0.7757000	0.0000000	0.0000000	0.0153000	0.0266	0.127575	0.183025	42.3491666666	4.87916666667	1.96578046232
Supercontig_2.14	1340000	1350000	0.4488	0.2652	24.7724	8.954	0.9640000	0.0000000	0.0000000	0.0088000	0.01398	0.07856	0.1475	19.3626666667	21.2586666667	-0.315806695346
Supercontig_2.14	1350000	1360000	0.3417	0.2754	11.6118	3.5878	0.5597000	0.0000000	0.0000000	0.0116000	0.0557	0.306933333333	0.1692	17.0322222222	4.00777777778	1.86080199353
Supercontig_2.14	1360000	1370000	0.3978	0.2703	13.6962	6.5396	0.6610000	0.0000000	0.0000000	0.0100000	0.0105	0.0785	0.1333	14.145	6.44166666665	0.345001892968
Supercontig_2.14	1370000	1380000	0.3875	0.2939	17.8748	6.6141	0.7549000	0.0000000	0.0006000	0.0141000	0.0137	0.103	0.139633333333	15.2188888889	30.2233333333	-0.820868130578
Supercontig_2.14	1380000	1390000	0.5268	0.3028	11.0587	5.3408	0.9468000	0.0000000	0.0000000	0.0147000	0.0115333333333	0.0867666666667	0.140233333333	120.671333333	2859.56333333	-3.70900957037
Supercontig_2.14	1390000	1400000	0.5697	0.25	21.7385	10.1418	0.7841000	0.0112000	0.0000000	0.0126000	0.021675	0.26415	0.116075	18.2571428571	18.1685714286	-0.519697892116
Supercontig_2.14	1400000	1410000	0.3876	0.2754	10.5457	3.9617	0.6227000	0.0000000	0.0004000	0.0088000	0.0013	0.0064	0.1992	27.94	11.0233333333	0.842571597199
Supercontig_2.14	1410000	1420000	0.4998	0.2856	18.8638	7.5286	0.8529000	0.0000000	0.0000000	0.0122000	0.0087	0.03985	0.21845	14.9683333333	16.4583333333	-0.512245692217
Supercontig_2.14	1420000	1430000	0.3927	0.3481	17.495	7.3126	0.9066000	0.0000000	0.0000000	0.0147000	0.00468	0.02348	0.20582	13.9827777778	45.4172222222	-1.94946771038
Supercontig_2.14	1430000	1440000	0.3587	0.4067	6.8776	2.553	0.6438000	0.0000000	0.0000000	0.0102000	0.0332	0.0968	0.30775	3.63333333333	3.40666666667	-1.74084741715
