Gene identifier, dN/dS (YN00), M1/M2 test (Codeml), M7/M8 test (Codeml) ,Codeml under diversifying selection,YN00 under diversifying selection
FGSG_00071,0.110716667,1,1,FALSE,FALSE
FGSG_00072,0.301088889,1,0.002663264,FALSE,FALSE
FGSG_00073,0.2691,0.659824096,1,FALSE,FALSE
FGSG_00074,0.079216667,1,1,FALSE,FALSE
FGSG_00075,0.112046429,1,1,FALSE,FALSE
FGSG_00076,0.068995238,1,1,FALSE,FALSE
FGSG_00077,0.159242857,1,1,FALSE,FALSE
FGSG_00078,0.053295238,1,1,FALSE,FALSE
FGSG_00079,0.124566667,1,1,FALSE,FALSE
FGSG_00080,0.105807143,1,1,FALSE,FALSE
FGSG_00082,0.154328571,1,1,FALSE,FALSE
FGSG_00083,0.101933333,1,1,FALSE,FALSE
FGSG_00084,0.1277,1,1,FALSE,FALSE
FGSG_00089,0.106433333,0.783193881,1,FALSE,FALSE
FGSG_00090,0.129347619,1,1,FALSE,FALSE
FGSG_00091,0.112433333,1,1,FALSE,FALSE
FGSG_00092,0.092833333,1,1,FALSE,FALSE
FGSG_00093,0.290564286,1,1,FALSE,FALSE
FGSG_00096,0.063389286,1,1,FALSE,FALSE
FGSG_00097,0.133203571,1,1,FALSE,FALSE
FGSG_00099,0.042728889,1,1,FALSE,FALSE
FGSG_00100,0.07635,1,1,FALSE,FALSE
FGSG_00101,0.07335,1,1,FALSE,FALSE
FGSG_00102,0.17652,1,1,FALSE,FALSE
FGSG_00103,0.121844444,1,1,FALSE,FALSE
FGSG_00104,0.31512,1,1,FALSE,FALSE
FGSG_00105,0.23635,1,1,FALSE,FALSE
FGSG_00109,0.039989286,1,1,FALSE,FALSE
FGSG_00111,0.22058,1,1,FALSE,FALSE
FGSG_00112,0.0742,1,1,FALSE,FALSE
FGSG_00114,0.197452381,1,1,FALSE,FALSE
FGSG_00116,0.065810989,1,1,FALSE,FALSE
FGSG_00117,0.155752564,1,1,FALSE,FALSE
FGSG_00118,0.046107143,1,1,FALSE,FALSE
FGSG_00119,0.461933333,1,1,FALSE,FALSE
FGSG_00120,0.4255,Not calculated,Not calculated,FALSE,FALSE
FGSG_00122,0.18304,1,1,FALSE,FALSE
FGSG_00124,0.093192857,1,1,FALSE,FALSE
FGSG_00126,0.189877778,1,1,FALSE,FALSE
FGSG_00129,0.426033333,1,1,FALSE,FALSE
FGSG_00130,0.4131,1,1,FALSE,FALSE
FGSG_00131,0.549,0.618279907,1,FALSE,FALSE
FGSG_00132,0.266302222,1,1,FALSE,FALSE
FGSG_00134,0.2612,1,1,FALSE,FALSE
FGSG_00135,0.176,Not calculated,Not calculated,FALSE,FALSE
FGSG_00136,0.045686111,1,1,FALSE,FALSE
FGSG_00137,0.037642857,1,1,FALSE,FALSE
FGSG_00138,0.118241667,1,1,FALSE,FALSE
FGSG_00139,0.035435714,1,1,FALSE,FALSE
FGSG_00140,0.041471429,1,1,FALSE,FALSE
FGSG_00141,0.521066667,0.298216663,1,FALSE,FALSE
FGSG_00144,0.082638889,1,1,FALSE,FALSE
FGSG_00145,0.0968,Not calculated,Not calculated,FALSE,FALSE
FGSG_00147,0.53595,1,1,FALSE,FALSE
FGSG_00150,0.044375,1,1,FALSE,FALSE
FGSG_00151,1.2318,Not calculated,Not calculated,FALSE,TRUE
FGSG_00152,0.045,1,1,FALSE,FALSE
FGSG_00154,0.220566667,1,1,FALSE,FALSE
FGSG_00156,0.301033333,1,1,FALSE,FALSE
FGSG_00157,0.2155,Not calculated,Not calculated,FALSE,FALSE
FGSG_00160,0.25335,1,1,FALSE,FALSE
FGSG_00161,0.086473333,1,1,FALSE,FALSE
FGSG_00162,0.076692857,1,1,FALSE,FALSE
FGSG_00163,0.4244,Not calculated,Not calculated,FALSE,FALSE
FGSG_00165,0.035308333,1,1,FALSE,FALSE
FGSG_00166,0.060833333,1,1,FALSE,FALSE
FGSG_00168,0.016947222,1,1,FALSE,FALSE
FGSG_00169,0.072036111,1,1,FALSE,FALSE
FGSG_00170,0.071702778,1,1,FALSE,FALSE
FGSG_00171,0.139021429,0.999780024,1,FALSE,FALSE
FGSG_00172,0.131975,1,1,FALSE,FALSE
FGSG_00173,0.062992857,1,1,FALSE,FALSE
FGSG_00174,0.165083333,1,1,FALSE,FALSE
FGSG_00175,0.010905556,1,1,FALSE,FALSE
FGSG_00176,0.020528571,1,1,FALSE,FALSE
FGSG_00177,0.019713889,1,1,FALSE,FALSE
FGSG_00179,0.097927778,1,1,FALSE,FALSE
FGSG_00182,0.030461111,1,1,FALSE,FALSE
FGSG_00183,0.136258333,1,1,FALSE,FALSE
FGSG_00184,0.072125,1,1,FALSE,FALSE
FGSG_00185,0.146739286,1,1,FALSE,FALSE
FGSG_00186,0.018063889,1,1,FALSE,FALSE
FGSG_00188,0.028030556,1,1,FALSE,FALSE
FGSG_00189,0.138166667,1,1,FALSE,FALSE
FGSG_00190,0.085977778,0.186475578,1,FALSE,FALSE
FGSG_00192,0.078025,1,1,FALSE,FALSE
FGSG_00193,0.244388889,1,1,FALSE,FALSE
FGSG_00194,0.084583333,1,1,FALSE,FALSE
FGSG_00195,0.062372222,1,1,FALSE,FALSE
FGSG_00196,0.108810714,1,1,FALSE,FALSE
FGSG_00197,0.041091667,1,1,FALSE,FALSE
FGSG_00198,0.067894444,1,1,FALSE,FALSE
FGSG_00199,0.324866667,0.109178295,1,FALSE,FALSE
FGSG_00200,0.070255556,1,1,FALSE,FALSE
FGSG_00201,0.093782222,1,1,FALSE,FALSE
FGSG_00203,0.391966667,0.114299395,1,FALSE,FALSE
FGSG_00205,0.397666667,2.95E-06,1.91E-06,TRUE,FALSE
FGSG_00207,0.125,1,1,FALSE,FALSE
FGSG_00209,0.17115,0.666692073,1,FALSE,FALSE
FGSG_00211,0.130419444,1,1,FALSE,FALSE
FGSG_00213,0.0857,1,1,FALSE,FALSE
FGSG_00216,0.3508,0.969088829,1,FALSE,FALSE
FGSG_00217,0.107017857,1,1,FALSE,FALSE
FGSG_00218,0.045995238,1,1,FALSE,FALSE
FGSG_00220,0.058902778,1,1,FALSE,FALSE
FGSG_00222,0.354766667,1,1,FALSE,FALSE
FGSG_00224,0.165514286,1,1,FALSE,FALSE
FGSG_00226,0.076708333,1,1,FALSE,FALSE
FGSG_00227,0.135319444,1,1,FALSE,FALSE
FGSG_00229,0.285347619,1,1,FALSE,FALSE
FGSG_00230,0.252862105,1,1,FALSE,FALSE
FGSG_00231,0.149475,1,1,FALSE,FALSE
FGSG_00232,0.296,Not calculated,Not calculated,FALSE,FALSE
FGSG_00234,0.181953333,1,1,FALSE,FALSE
FGSG_00235,0.22845,1,1,FALSE,FALSE
FGSG_00236,0.124975,1,1,FALSE,FALSE
FGSG_00237,0.195871429,1,1,FALSE,FALSE
FGSG_00243,0.081095238,1,1,FALSE,FALSE
FGSG_00246,0.107258333,1,1,FALSE,FALSE
FGSG_00247,0.497353571,1,1,FALSE,FALSE
FGSG_00249,0.104091667,1,1,FALSE,FALSE
FGSG_00251,0.103047222,1,1,FALSE,FALSE
FGSG_00252,0.389190909,1,1,FALSE,FALSE
FGSG_00253,0.443203571,1,1,FALSE,FALSE
FGSG_00254,0.41976,1,1,FALSE,FALSE
FGSG_00255,0.351705455,1,1,FALSE,FALSE
FGSG_00256,0.376433333,1,1,FALSE,FALSE
FGSG_00257,0.036694444,1,1,FALSE,FALSE
FGSG_00259,0.049377778,1,1,FALSE,FALSE
FGSG_00260,0.13967076,1,1,FALSE,FALSE
FGSG_00261,0.071022222,1,1,FALSE,FALSE
FGSG_00262,0.114452778,1,1,FALSE,FALSE
FGSG_00263,0.332147619,1,1,FALSE,FALSE
FGSG_00264,0.058519444,0.707730435,1,FALSE,FALSE
FGSG_00265,0.128569444,1,1,FALSE,FALSE
FGSG_00266,0.161882143,1,1,FALSE,FALSE
FGSG_00267,0.123227778,1,1,FALSE,FALSE
FGSG_00268,0.162053571,1,1,FALSE,FALSE
FGSG_00269,0.039113889,1,1,FALSE,FALSE
FGSG_00270,0.0922,1,1,FALSE,FALSE
FGSG_00271,0.051272222,1,1,FALSE,FALSE
FGSG_00272,0.186466667,1,1,FALSE,FALSE
FGSG_00274,0.543,Not calculated,Not calculated,FALSE,FALSE
FGSG_00275,0.181461111,1,1,FALSE,FALSE
FGSG_00276,0.069683333,1,1,FALSE,FALSE
FGSG_00278,0.039172222,1,1,FALSE,FALSE
FGSG_00279,0.111416667,1,1,FALSE,FALSE
FGSG_00280,0.011033333,1,1,FALSE,FALSE
FGSG_00281,0.044141667,1,1,FALSE,FALSE
FGSG_00283,0.06235,1,1,FALSE,FALSE
FGSG_00284,0.108307143,1,1,FALSE,FALSE
FGSG_00285,0.300422222,1,1,FALSE,FALSE
FGSG_00286,0.023544444,1,1,FALSE,FALSE
FGSG_00287,0.081936111,1,1,FALSE,FALSE
FGSG_00288,0.051097222,1,1,FALSE,FALSE
FGSG_00291,0.026197222,1,1,FALSE,FALSE
FGSG_00292,0.052230556,1,1,FALSE,FALSE
FGSG_00293,0.089891667,1,1,FALSE,FALSE
FGSG_00294,0.130386111,1,1,FALSE,FALSE
FGSG_00295,0.30005,1,1,FALSE,FALSE
FGSG_00296,0.024147222,1,1,FALSE,FALSE
FGSG_00297,0.123725,1,1,FALSE,FALSE
FGSG_00298,0.055477778,1,1,FALSE,FALSE
FGSG_00299,0.021847222,1,1,FALSE,FALSE
FGSG_00300,0.165955556,0.043599657,0.003612396,TRUE,FALSE
FGSG_00301,0.040639286,6.89E-05,9.47E-06,TRUE,FALSE
FGSG_00302,0.115333333,1,1,FALSE,FALSE
FGSG_00303,0.037372222,1,1,FALSE,FALSE
FGSG_00304,0.047005556,0.954195216,1,FALSE,FALSE
FGSG_00305,0.040616667,1,1,FALSE,FALSE
FGSG_00306,0.018164286,1,1,FALSE,FALSE
FGSG_00307,0.260269444,1,1,FALSE,FALSE
FGSG_00308,0.052711111,1,1,FALSE,FALSE
FGSG_00309,0.093138889,1,1,FALSE,FALSE
FGSG_00310,0.247427778,0.043124672,0.011608705,TRUE,FALSE
FGSG_00312,0.196113889,1,1,FALSE,FALSE
FGSG_00313,0.086083333,1,1,FALSE,FALSE
FGSG_00314,0.109571429,1,1,FALSE,FALSE
FGSG_00316,0.106402778,1,1,FALSE,FALSE
FGSG_00317,0.054439286,1,1,FALSE,FALSE
FGSG_00318,0.132303571,1,1,FALSE,FALSE
FGSG_00319,0.095407143,0.894686412,1,FALSE,FALSE
FGSG_00320,0.036305556,1,1,FALSE,FALSE
FGSG_00321,0.168427778,1,1,FALSE,FALSE
FGSG_00322,0.400886111,1,1,FALSE,FALSE
FGSG_00323,0.024616667,1,1,FALSE,FALSE
FGSG_00324,0.125911111,1,1,FALSE,FALSE
FGSG_00325,0.099442857,1,1,FALSE,FALSE
FGSG_00326,0.30598,1,1,FALSE,FALSE
FGSG_00327,0.060496429,1,1,FALSE,FALSE
FGSG_00328,0.113608333,1,1,FALSE,FALSE
FGSG_00329,0.036738889,1,1,FALSE,FALSE
FGSG_00330,0.012075,1,1,FALSE,FALSE
FGSG_00331,0.132863889,0.917292392,1,FALSE,FALSE
FGSG_00332,0.077297222,0.780107928,1,FALSE,FALSE
FGSG_00333,0.067041667,1,1,FALSE,FALSE
FGSG_00334,0.111791667,1,1,FALSE,FALSE
FGSG_00335,0.181402778,1,1,FALSE,FALSE
FGSG_00336,0.196802778,1,1,FALSE,FALSE
FGSG_00337,0.015711111,1,1,FALSE,FALSE
FGSG_00338,0.021917857,1,1,FALSE,FALSE
FGSG_00339,0.226375,1,1,FALSE,FALSE
FGSG_00340,0.170730556,1,1,FALSE,FALSE
FGSG_00342,0.163494444,1,1,FALSE,FALSE
FGSG_00343,0.042377778,1,1,FALSE,FALSE
FGSG_00344,0.8708,0.863004822,1,FALSE,FALSE
FGSG_00346,0.043058333,1,1,FALSE,FALSE
FGSG_00347,0.121875,1,1,FALSE,FALSE
FGSG_00348,0.0955,0.085711181,1,FALSE,FALSE
FGSG_00349,0.082586111,1,1,FALSE,FALSE
FGSG_00350,0.051996429,1,1,FALSE,FALSE
FGSG_00351,0.103375,1,1,FALSE,FALSE
FGSG_00352,0.08005,1,1,FALSE,FALSE
FGSG_00353,0.041908333,1,1,FALSE,FALSE
FGSG_00355,0.013946429,1,1,FALSE,FALSE
FGSG_00357,0.100319444,1,1,FALSE,FALSE
FGSG_00358,0.017661111,1,1,FALSE,FALSE
FGSG_00359,0.04235,1,1,FALSE,FALSE
FGSG_00360,0.000939286,1,1,FALSE,FALSE
FGSG_00361,0.078513889,1,1,FALSE,FALSE
FGSG_00362,0.053213889,1,1,FALSE,FALSE
FGSG_00363,0.113783333,1,1,FALSE,FALSE
FGSG_00364,0.034971429,1,1,FALSE,FALSE
FGSG_00365,0.035872222,1,1,FALSE,FALSE
FGSG_00367,0.032111111,1,1,FALSE,FALSE
FGSG_00369,0.0322,1,1,FALSE,FALSE
FGSG_00370,0.081544444,1,1,FALSE,FALSE
FGSG_00371,0.067936111,1,1,FALSE,FALSE
FGSG_00372,0.124655556,1,1,FALSE,FALSE
FGSG_00373,0.049619444,1,1,FALSE,FALSE
FGSG_00374,0.101288889,1,1,FALSE,FALSE
FGSG_00375,0.050122222,1,1,FALSE,FALSE
FGSG_00376,0.028625,1,1,FALSE,FALSE
FGSG_00377,0.192808333,1,1,FALSE,FALSE
FGSG_00378,0.2603,1,1,FALSE,FALSE
FGSG_00379,0.063644444,1,1,FALSE,FALSE
FGSG_00380,0.047827778,1,1,FALSE,FALSE
FGSG_00381,0.52285,5.23E-05,3.20E-05,TRUE,FALSE
FGSG_00383,0.241175,1,1,FALSE,FALSE
FGSG_00385,0.035777778,1,1,FALSE,FALSE
FGSG_00387,0.028596429,1,1,FALSE,FALSE
FGSG_00388,0.050408333,1,1,FALSE,FALSE
FGSG_00389,0.0773,1,1,FALSE,FALSE
FGSG_00390,0.212602778,1,1,FALSE,FALSE
FGSG_00391,0.275033333,1,1,FALSE,FALSE
FGSG_00392,0.180905556,1,1,FALSE,FALSE
FGSG_00393,0.083225,1,1,FALSE,FALSE
FGSG_00394,0.398,0.156513502,1,FALSE,FALSE
FGSG_00395,0.024553571,1,1,FALSE,FALSE
FGSG_00397,0.013411111,1,1,FALSE,FALSE
FGSG_00398,0.082566667,1,1,FALSE,FALSE
FGSG_00399,0.092225,1,1,FALSE,FALSE
FGSG_00402,0.080927778,1,1,FALSE,FALSE
FGSG_00404,0.120592857,1,1,FALSE,FALSE
FGSG_00405,0.048713889,1,1,FALSE,FALSE
FGSG_00406,0.082847222,1,1,FALSE,FALSE
FGSG_00407,0.089102778,1,1,FALSE,FALSE
FGSG_00408,0.024069444,1,1,FALSE,FALSE
FGSG_00409,0.101528571,1,1,FALSE,FALSE
FGSG_00410,0.078757143,1,1,FALSE,FALSE
FGSG_00411,0.367541667,1,1,FALSE,FALSE
FGSG_00412,0.5809,1,1,FALSE,FALSE
FGSG_00413,0.306539286,0.311877125,1,FALSE,FALSE
FGSG_00414,0.113525,1,1,FALSE,FALSE
FGSG_00415,0.117033333,0.544654299,1,FALSE,FALSE
FGSG_00416,0.060169444,1,1,FALSE,FALSE
FGSG_00417,0.017675,1,1,FALSE,FALSE
FGSG_00418,0.134363889,1,1,FALSE,FALSE
FGSG_00419,0.110186111,1,1,FALSE,FALSE
FGSG_00421,0.027610714,1,1,FALSE,FALSE
FGSG_00422,0.175022222,1,1,FALSE,FALSE
FGSG_00423,0.062591667,1,1,FALSE,FALSE
FGSG_00424,0.13295,1,1,FALSE,FALSE
FGSG_00425,0.103444444,1,1,FALSE,FALSE
FGSG_00426,0.409214286,1,1,FALSE,FALSE
FGSG_00427,0.176757778,1,1,FALSE,FALSE
FGSG_00428,0.033060714,1,1,FALSE,FALSE
FGSG_00429,0.054677778,0.982781954,1,FALSE,FALSE
FGSG_00430,0.079047222,1,1,FALSE,FALSE
FGSG_00431,0.276592857,1,1,FALSE,FALSE
FGSG_00433,0.062791667,1,1,FALSE,FALSE
FGSG_00434,0.074339286,1,1,FALSE,FALSE
FGSG_00435,0.109691667,1,1,FALSE,FALSE
FGSG_00436,0.124458333,1,1,FALSE,FALSE
FGSG_00437,0.052780556,1,1,FALSE,FALSE
FGSG_00438,0.261016667,0.381505886,1,FALSE,FALSE
FGSG_00439,0.022405556,1,1,FALSE,FALSE
FGSG_00440,0.087705556,1,1,FALSE,FALSE
FGSG_00441,0.587441667,1,1,FALSE,FALSE
FGSG_00442,0.052728571,1,1,FALSE,FALSE
FGSG_00443,0.117219444,1,1,FALSE,FALSE
FGSG_00444,0.009221429,1,1,FALSE,FALSE
FGSG_00446,0.190955556,1,1,FALSE,FALSE
FGSG_00447,0.112072222,1,1,FALSE,FALSE
FGSG_00448,0.021502778,1,1,FALSE,FALSE
FGSG_00449,0.062486111,1,1,FALSE,FALSE
FGSG_00450,0.174108333,1,1,FALSE,FALSE
FGSG_00452,0.05345,1,1,FALSE,FALSE
FGSG_00453,0.131130556,1,1,FALSE,FALSE
FGSG_00455,0.045288889,1,1,FALSE,FALSE
FGSG_00456,0.19631,1,1,FALSE,FALSE
FGSG_00457,0.135063889,1,1,FALSE,FALSE
FGSG_00458,0.028752778,1,1,FALSE,FALSE
FGSG_00459,0.21805,1,1,FALSE,FALSE
FGSG_00460,0.159375,1,1,FALSE,FALSE
FGSG_00461,0.148044444,1,1,FALSE,FALSE
FGSG_00462,0.080002778,1,1,FALSE,FALSE
FGSG_00463,0.076452778,1,1,FALSE,FALSE
FGSG_00464,0.136419444,1,1,FALSE,FALSE
FGSG_00465,0.071308333,1,1,FALSE,FALSE
FGSG_00466,0.034866667,0.23927255,1,FALSE,FALSE
FGSG_00467,0.056852778,1,1,FALSE,FALSE
FGSG_00468,0.048638889,1,1,FALSE,FALSE
FGSG_00469,0.042983333,1,1,FALSE,FALSE
FGSG_00470,0.152557143,1,1,FALSE,FALSE
FGSG_00471,0.088133333,1,1,FALSE,FALSE
FGSG_00472,0.037614286,1,1,FALSE,FALSE
FGSG_00474,0.143211111,1,1,FALSE,FALSE
FGSG_00475,0.076785714,1,1,FALSE,FALSE
FGSG_00476,0.124883333,1,1,FALSE,FALSE
FGSG_00477,0.063705556,1,1,FALSE,FALSE
FGSG_00478,0.030469444,1,1,FALSE,FALSE
FGSG_00479,0.29663,1,1,FALSE,FALSE
FGSG_00480,0.0373,1,1,FALSE,FALSE
FGSG_00481,0.133908333,1,1,FALSE,FALSE
FGSG_00482,0.048725,1,1,FALSE,FALSE
FGSG_00483,0.2387,1,1,FALSE,FALSE
FGSG_00484,0.278997222,1,1,FALSE,FALSE
FGSG_00485,0.097386111,1,1,FALSE,FALSE
FGSG_00486,0.065888889,1,1,FALSE,FALSE
FGSG_00487,0.160016667,1,1,FALSE,FALSE
FGSG_00489,0.012433333,1,1,FALSE,FALSE
FGSG_00490,0.01775,1,1,FALSE,FALSE
FGSG_00491,0.027407143,1,1,FALSE,FALSE
FGSG_00492,0.277982143,1,1,FALSE,FALSE
FGSG_00493,0.011752778,1,1,FALSE,FALSE
FGSG_00494,0.097663889,1,1,FALSE,FALSE
FGSG_00495,0.043063889,0.999669055,1,FALSE,FALSE
FGSG_00496,0.028895238,1,1,FALSE,FALSE
FGSG_00497,0.068873333,1,1,FALSE,FALSE
FGSG_00499,0.143038095,1,1,FALSE,FALSE
FGSG_00500,0.021138889,1,1,FALSE,FALSE
FGSG_00501,0.045061111,1,1,FALSE,FALSE
FGSG_00502,0.064752778,0.599262228,1,FALSE,FALSE
FGSG_00503,0.165616667,1,1,FALSE,FALSE
FGSG_00504,0.041372222,1,1,FALSE,FALSE
FGSG_00505,0.035494444,1,1,FALSE,FALSE
FGSG_00506,0.1005,1,1,FALSE,FALSE
FGSG_00507,0.017578571,1,1,FALSE,FALSE
FGSG_00508,0.061578571,0.972303773,1,FALSE,FALSE
FGSG_00509,0.074397222,1,1,FALSE,FALSE
FGSG_00510,0.210727778,1,1,FALSE,FALSE
FGSG_00511,0.080991667,1,1,FALSE,FALSE
FGSG_00512,0.110194444,0.434498842,1,FALSE,FALSE
FGSG_00513,0.344385714,1,1,FALSE,FALSE
FGSG_00514,0.067911111,1,1,FALSE,FALSE
FGSG_00515,0.075758333,1,1,FALSE,FALSE
FGSG_00517,0.106511111,1,1,FALSE,FALSE
FGSG_00518,0.041133333,1,1,FALSE,FALSE
FGSG_00519,0.072116667,1,1,FALSE,FALSE
FGSG_00520,0.023386111,1,1,FALSE,FALSE
FGSG_00521,0.731566667,0.003771807,0.003850828,TRUE,FALSE
FGSG_00522,0.472541667,1,1,FALSE,FALSE
FGSG_00523,0.164527778,1,1,FALSE,FALSE
FGSG_00524,0.005486111,1,1,FALSE,FALSE
FGSG_00525,0.104586111,1,1,FALSE,FALSE
FGSG_00526,0.045202778,1,1,FALSE,FALSE
FGSG_00529,0.028827778,0.137611332,1,FALSE,FALSE
FGSG_00530,0.050694444,1,1,FALSE,FALSE
FGSG_00531,0.1515,1,1,FALSE,FALSE
FGSG_00534,0.093255556,1,1,FALSE,FALSE
FGSG_00535,0.132336111,1,1,FALSE,FALSE
FGSG_00536,0.029383333,0.263066349,1,FALSE,FALSE
FGSG_00537,0.367611111,1,1,FALSE,FALSE
FGSG_00538,0.012086111,1,1,FALSE,FALSE
FGSG_00539,0.040461111,1,1,FALSE,FALSE
FGSG_00540,0.066547222,1,1,FALSE,FALSE
FGSG_00541,0.057307143,1,1,FALSE,FALSE
FGSG_00542,0.047207143,1,1,FALSE,FALSE
FGSG_00543,0.043902778,1,1,FALSE,FALSE
FGSG_00545,0.117477778,1,1,FALSE,FALSE
FGSG_00546,0.111158333,1,1,FALSE,FALSE
FGSG_00549,0.105733333,1,1,FALSE,FALSE
FGSG_00550,0.108816667,1,1,FALSE,FALSE
FGSG_00551,0.151813889,1,1,FALSE,FALSE
FGSG_00552,0.058242857,1,1,FALSE,FALSE
FGSG_00553,0.061502778,1,1,FALSE,FALSE
FGSG_00554,0.091113889,1,1,FALSE,FALSE
FGSG_00555,0.155078571,1,1,FALSE,FALSE
FGSG_00556,0.088855556,1,1,FALSE,FALSE
FGSG_00557,0.303808333,1,1,FALSE,FALSE
FGSG_00558,0.007313889,1,1,FALSE,FALSE
FGSG_00559,0.0019,1,1,FALSE,FALSE
FGSG_00560,0.191702778,1,1,FALSE,FALSE
FGSG_00561,0.024083333,1,1,FALSE,FALSE
FGSG_00562,0.067988889,1,1,FALSE,FALSE
FGSG_00563,0.103088889,1,1,FALSE,FALSE
FGSG_00564,0.035769444,1,1,FALSE,FALSE
FGSG_00565,0.090747222,1,1,FALSE,FALSE
FGSG_00566,0.098613889,1,1,FALSE,FALSE
FGSG_00567,0.061991667,1,1,FALSE,FALSE
FGSG_00568,0.190102778,1,1,FALSE,FALSE
FGSG_00569,0.488573333,0.965340877,1,FALSE,FALSE
FGSG_00570,0.036732143,1,1,FALSE,FALSE
FGSG_00571,0.069378571,1,1,FALSE,FALSE
FGSG_00573,0.070461111,1,1,FALSE,FALSE
FGSG_00574,0.143763889,1,1,FALSE,FALSE
FGSG_00576,0.101638889,1,1,FALSE,FALSE
FGSG_00577,0.149111111,0.18941896,1,FALSE,FALSE
FGSG_00578,0.035438889,1,1,FALSE,FALSE
FGSG_00581,0.097963889,1,1,FALSE,FALSE
FGSG_00582,0.192455556,1,1,FALSE,FALSE
FGSG_00583,0.057577778,1,1,FALSE,FALSE
FGSG_00584,0.089555556,1,1,FALSE,FALSE
FGSG_00585,0.051633333,1,1,FALSE,FALSE
FGSG_00586,0.237364286,1,1,FALSE,FALSE
FGSG_00587,0.065475,1,1,FALSE,FALSE
FGSG_00588,0.130844444,1,1,FALSE,FALSE
FGSG_00589,0.023203571,1,1,FALSE,FALSE
FGSG_00590,0.051222222,1,1,FALSE,FALSE
FGSG_00591,0.121441667,1,1,FALSE,FALSE
FGSG_00592,0.10658,1,1,FALSE,FALSE
FGSG_00593,0.068989286,1,1,FALSE,FALSE
FGSG_00594,0.243589286,1,1,FALSE,FALSE
FGSG_00595,0.0607,1,1,FALSE,FALSE
FGSG_00596,0.084782143,1,1,FALSE,FALSE
FGSG_00597,0.076433333,1,1,FALSE,FALSE
FGSG_00598,0.048277778,1,1,FALSE,FALSE
FGSG_00599,0.117464286,1,1,FALSE,FALSE
FGSG_00600,0.06435,1,1,FALSE,FALSE
FGSG_00602,0.104433333,0.973350535,1,FALSE,FALSE
FGSG_00603,0.165438889,1,1,FALSE,FALSE
FGSG_00604,0.138305556,1,1,FALSE,FALSE
